Company,laptop_type,screen_size_inch,display_resolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_model,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,price_band,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,suspect_flag,data_quality_score,data_quality_category,is_price_outlier
APPLE,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8GB,"128GB SSD","Intel Iris Plus Graphics 640",macOS,1.37kg,71378.6832,2560,1600,NULL,No,"Quad HD+",Intel,i5,NULL,NULL,2.00,Upper-Mid,Intel,Mid-Range,8,128,0,0,0,128,1.37,Medium,No,12,Good,No
APPLE,Ultrabook,13.3,1440x900,"Intel Core i5 1.8GHz",8GB,"128GB Flash Storage","Intel HD Graphics 6000",macOS,1.34kg,47895.523199999996,1440,900,NULL,No,HD+,Intel,i5,NULL,NULL,1.00,Upper-Mid,Intel,Mid-Range,8,0,0,128,0,128,1.34,Medium,No,12,Good,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8GB,"256GB SSD","Intel HD Graphics 620","Not Specified",1.86kg,30636,1920,1080,NULL,No,"Full HD",Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,8,256,0,0,0,256,1.86,Medium,No,14,Excellent,No
APPLE,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz",16GB,"512GB SSD","AMD Radeon Pro 455",macOS,1.83kg,135195.33599999998,2880,1800,NULL,No,"Quad HD+",Intel,i7,NULL,NULL,2.00,High,AMD,Premium,16,512,0,0,0,512,1.83,Medium,No,12,Good,Yes
APPLE,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz",8GB,"256GB SSD","Intel Iris Plus Graphics 650",macOS,1.37kg,96095.80799999999,2560,1600,NULL,No,"Quad HD+",Intel,i5,NULL,NULL,3.00,Upper-Mid,Intel,Premium,8,256,0,0,0,256,1.37,Medium,No,12,Good,No
ACER,Notebook,15.6,1366x768,"AMD A9-Series 9420 3GHz",4GB,"500GB HDD","AMD Radeon R5",Windows,2.1kg,21312,1366,768,NULL,No,HD,AMD,A9-Series,9420,NULL,3.00,Lower-Mid,AMD,Budget,4,0,500,0,0,500,2.10,Medium,No,14,Excellent,No
APPLE,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz",16GB,"256GB Flash Storage","Intel Iris Pro Graphics",macOS,2.04kg,114017.6016,2880,1800,NULL,No,"Quad HD+",Intel,i7,NULL,NULL,2.00,High,Intel,Premium,16,0,0,256,0,256,2.04,Medium,No,12,Good,No
APPLE,Ultrabook,13.3,1440x900,"Intel Core i5 1.8GHz",8GB,"256GB Flash Storage","Intel HD Graphics 6000",macOS,1.34kg,61735.536,1440,900,NULL,No,HD+,Intel,i5,NULL,NULL,1.00,Upper-Mid,Intel,Mid-Range,8,0,0,256,0,256,1.34,Medium,No,12,Good,No
ASUS,Ultrabook,14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16GB,"512GB SSD","Nvidia GeForce MX150",Windows,1.3kg,79653.59999999999,1920,1080,NULL,No,"Full HD",Intel,i7,8550U,8,1.00,High,NVIDIA,Mid-Range,16,512,0,0,0,512,1.30,Medium,No,14,Excellent,No
ACER,Ultrabook,14,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"256GB SSD","Intel UHD Graphics 620",Windows,1.6kg,41025.6,1920,1080,NULL,No,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,256,0,0,0,256,1.60,Medium,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"Intel Core i5 7200U 2.5GHz",4GB,"500GB HDD","Intel HD Graphics 620","Not Specified",1.86kg,20986.992,1366,768,NULL,No,HD,Intel,i5,7200U,7,2.00,Upper-Mid,Intel,Budget,4,0,500,0,0,500,1.86,Medium,No,14,Excellent,No
HP,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"500GB HDD","Intel HD Graphics 520","Not Specified",1.86kg,18381.0672,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,Intel,Budget,4,0,500,0,0,500,1.86,Medium,No,14,Excellent,No
APPLE,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz",16GB,"256GB SSD","AMD Radeon Pro 555",macOS,1.83kg,130001.6016,2880,1800,NULL,No,"Quad HD+",Intel,i7,NULL,NULL,2.00,High,AMD,Premium,16,256,0,0,0,256,1.83,Medium,No,12,Good,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4GB,"256GB SSD","AMD Radeon R5 M430",Windows,2.2kg,26581.391999999996,1920,1080,NULL,No,"Full HD",Intel,i3,6006U,6,2.00,Mid,AMD,Budget,4,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
APPLE,Ultrabook,12,"IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz",8GB,"256GB SSD","Intel HD Graphics 615",macOS,0.92kg,67260.672,2304,1440,NULL,No,"Quad HD",Intel,"Core M",NULL,NULL,1.00,Mid,Intel,Mid-Range,8,256,0,0,0,256,0.92,Light,No,12,Good,No
APPLE,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8GB,"256GB SSD","Intel Iris Plus Graphics 640",macOS,1.37kg,80908.344,2560,1600,NULL,No,"Quad HD+",Intel,i5,NULL,NULL,2.00,Upper-Mid,Intel,Premium,8,256,0,0,0,256,1.37,Medium,No,12,Good,No
DELL,Notebook,15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8GB,"256GB SSD","AMD Radeon R5 M430",Windows,2.2kg,39693.6,1920,1080,NULL,No,"Full HD",Intel,i7,7500U,7,2.00,High,AMD,Budget,8,256,0,0,0,256,2.20,Heavy,No,14,Excellent,No
APPLE,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz",16GB,"512GB SSD","AMD Radeon Pro 560",macOS,1.83kg,152274.24,2880,1800,NULL,No,"Quad HD+",Intel,i7,NULL,NULL,2.00,High,AMD,Premium,16,512,0,0,0,512,1.83,Medium,No,12,Good,Yes
LENOVO,Notebook,15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8GB,"1TB HDD","Nvidia GeForce 940MX","Not Specified",2.2kg,26586.719999999998,1920,1080,NULL,No,"Full HD",Intel,i3,7100U,7,2.00,Mid,NVIDIA,Budget,8,0,1024,0,0,1024,2.20,Heavy,No,14,Excellent,No
DELL,Ultrabook,13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8GB,"128GB SSD","Intel UHD Graphics 620",Windows,1.22kg,52161.119999999995,1920,1080,NULL,Yes,"Full HD",Intel,i5,8250U,8,1.00,Upper-Mid,Intel,Mid-Range,8,128,0,0,0,128,1.22,Light,No,14,Excellent,No
ASUS,Netbook,11.6,1366x768,"Intel Atom x5-Z8350 1.44GHz",2GB,"32GB Flash Storage","Intel HD Graphics 400",Windows,0.98kg,10224.432,1366,768,NULL,No,HD,Intel,Atom,x5-Z8350,NULL,1.00,Entry,Intel,Budget,2,0,0,32,0,32,0.98,Light,No,14,Excellent,No
LENOVO,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8GB,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050",Windows,2.5kg,53226.72,1920,1080,NULL,No,"Full HD",Intel,i5,7300HQ,7,2.00,Upper-Mid,NVIDIA,Mid-Range,8,128,1024,0,0,1152,2.50,Heavy,No,14,Excellent,No
HP,Notebook,15.6,1366x768,"AMD E-Series E2-9000e 1.5GHz",4GB,"500GB HDD","AMD Radeon R2","Not Specified",1.86kg,13746.24,1366,768,NULL,No,HD,AMD,E-Series,E2-9000e,NULL,1.00,Entry,AMD,Budget,4,0,500,0,0,500,1.86,Medium,No,14,Excellent,No
