<<<<<<< HEAD
Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,Performance_Score
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,128,0,0,0,128,1.37,Medium,Mid-Range,71378.6832,No,0.5525
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,128,0,128,1.34,Medium,Mid-Range,47895.5232,No,0.44000000000000006
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.86,Medium,Budget,30636.0,No,0.5650000000000001
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,512,0,0,0,512,1.83,Medium,Premium,135195.33599999998,Yes,0.7433333333333334
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,3.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Premium,96095.808,No,0.6650000000000001
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,0,500,0,0,500,2.1,Medium,Budget,21312.0,No,0.41333333333333333
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,Intel,16,0,0,256,0,256,2.04,Medium,Premium,114017.6016,No,0.6933333333333334
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,256,0,256,1.34,Medium,Mid-Range,61735.536,No,0.44000000000000006
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,512,0,0,0,512,1.3,Medium,Mid-Range,79653.59999999999,No,0.6433333333333334
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,41025.6,No,0.4650000000000001
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,0,500,0,0,500,1.86,Medium,Budget,20986.992,No,0.5133333333333333
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,500,0,0,500,1.86,Medium,Budget,18381.0672,No,0.41333333333333333
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,256,0,0,0,256,1.83,Medium,Premium,130001.6016,No,0.7183333333333334
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,26581.392,No,0.43833333333333335
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,Core M,,1.0,3,Intel,8,256,0,0,0,256,0.92,Light,Mid-Range,67260.672,No,0.365
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Premium,80908.344,No,0.5650000000000001
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,AMD,8,256,0,0,0,256,2.2,Heavy,Budget,39693.6,No,0.665
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,512,0,0,0,512,1.83,Medium,Premium,152274.24,Yes,0.7433333333333334
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,3,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,26586.72,No,0.44000000000000006
DELL,Ultrabook,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,128,0,0,0,128,1.22,Light,Mid-Range,52161.12,No,0.45250000000000007
ASUS,Netbook,11.6,1366,768,Standard,0,HD,Intel,Atom,,1.0,1,Intel,2,0,0,32,0,32,0.98,Light,Budget,10224.432,No,0.09999999999999999
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,4,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,53226.72,No,0.5525
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,4,0,500,0,0,500,1.86,Medium,Budget,13746.24,No,0.11333333333333333
DELL,2 in 1 Convertible,13.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.62,Medium,Mid-Range,43636.32,No,0.4650000000000001
HP,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,256,0,0,0,256,1.91,Medium,Budget,35111.52,No,0.5650000000000001
DELL,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.3,Heavy,Budget,22305.1392,No,0.41333333333333333
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,128,0,128,1.35,Medium,Mid-Range,58554.72,No,0.44000000000000006
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,256,0,0,0,256,2.2,Heavy,Mid-Range,42624.0,No,0.4650000000000001
DELL,Ultrabook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.88,Medium,Mid-Range,69157.44,No,0.5900000000000001
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,0,1024,0,0,1024,2.5,Heavy,Mid-Range,47738.88,No,0.44000000000000006
CHUWI,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,Atom,,1.0,1,Intel,4,0,0,64,0,64,1.89,Medium,Budget,13053.0672,No,0.11333333333333333
ASUS,Notebook,14.0,1366,768,Standard,0,HD,AMD,E-Series,,1.0,1,AMD,2,0,0,32,0,32,1.65,Medium,Budget,10602.72,No,0.09999999999999999
HP,Notebook,17.3,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,0,500,0,0,500,2.71,Heavy,Budget,23389.92,No,0.21333333333333332
DELL,Ultrabook,13.3,3200,1800,Standard,1,Quad HD+,Intel,i7,8.0,1.0,5,Intel,16,512,0,0,0,512,1.2,Light,Premium,99580.32,No,0.6433333333333334
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,256,0,256,1.35,Medium,Mid-Range,53173.44,No,0.44000000000000006
LENOVO,Notebook,14.0,1366,768,Standard,0,HD,Intel,Celeron,,1.0,1,Intel,4,0,0,64,0,64,1.44,Medium,Budget,13266.72,No,0.11333333333333333
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,1024,0,0,1024,2.1,Medium,Budget,19553.76,No,0.41333333333333333
DELL,Notebook,17.3,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,AMD,8,128,1024,0,0,1152,2.8,Heavy,Mid-Range,52161.12,No,0.45250000000000007
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,0,1024,0,0,1024,1.86,Medium,Budget,26037.4032,No,0.5133333333333333
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,8,256,0,0,0,256,2.1,Medium,Mid-Range,46833.12,No,0.4650000000000001
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,0,1024,0,0,1024,2.0,Medium,Budget,20725.92,No,0.41333333333333333
DELL,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,1024,0,0,1280,2.65,Heavy,Mid-Range,79866.72,No,0.7183333333333334
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,NVIDIA,8,0,1024,0,0,1024,2.3,Heavy,Budget,27864.9072,No,0.54
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,4,256,0,0,0,256,2.2,Heavy,Budget,36336.96,No,0.43833333333333335
DELL,2 in 1 Convertible,17.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,4,NVIDIA,12,0,1024,0,0,1024,2.77,Heavy,Mid-Range,53226.72,No,0.4666666666666667
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Mid-Range,75604.31999999999,No,0.5650000000000001
LENOVO,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,6.0,2.0,3,Intel,4,128,0,0,0,128,2.2,Heavy,Budget,19660.32,No,0.42583333333333334
ASUS,Gaming,17.3,1920,1080,Standard,0,Full HD,AMD,Ryzen,1.0,3.0,5,AMD,8,256,1024,0,0,1280,3.2,Heavy,Mid-Range,69210.72,No,0.765
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,AMD,4,256,0,0,0,256,2.3,Heavy,Budget,34045.92,No,0.5383333333333333
ASUS,Notebook,17.3,1366,768,Standard,0,HD,Intel,Pentium,,1.0,1,NVIDIA,4,0,1024,0,0,1024,2.8,Heavy,Budget,24828.48,No,0.11333333333333333
LENOVO,2 in 1 Convertible,10.1,1920,1200,IPS,1,Full HD,Intel,Atom,,1.0,1,Intel,4,0,0,64,0,64,0.69,Light,Budget,16996.32,No,0.11333333333333333
ACER,Notebook,15.6,1920,1080,IPS,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,8,256,0,0,0,256,2.2,Heavy,Mid-Range,44808.48,No,0.5650000000000001
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,AMD,A6-Series,,2.0,1,AMD,4,256,0,0,0,256,1.86,Medium,Budget,21231.5472,No,0.2383333333333333
HP,Notebook,13.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,Intel,8,512,0,0,0,512,1.49,Medium,Mid-Range,58767.84,No,0.5900000000000001
ACER,Notebook,15.6,1366,768,Standard,0,HD,Intel,i3,7.0,2.0,3,Intel,4,0,1024,0,0,1024,2.4,Heavy,Budget,20459.52,No,0.41333333333333333
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,8,256,0,0,0,256,2.13,Medium,Mid-Range,40908.384,No,0.5650000000000001
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,128,0,0,0,128,1.91,Medium,Budget,23389.92,No,0.42583333333333334
ASUS,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,4,Intel,4,256,0,0,0,256,2.0,Medium,Budget,31232.203200000004,No,0.5383333333333333
MSI,Gaming,17.3,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,5,NVIDIA,16,256,2048,0,0,2304,2.43,Heavy,Premium,130482.72,No,0.7183333333333334
ASUS,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,3,Intel,4,256,0,0,0,256,2.0,Medium,Budget,22111.2,No,0.43833333333333335
DELL,Notebook,17.3,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,AMD,16,256,2048,0,0,2304,2.8,Heavy,Mid-Range,69210.72,No,0.6183333333333334
DELL,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.7,Medium,Mid-Range,46833.12,No,0.4650000000000001
LENOVO,Notebook,14.0,1920,1080,IPS,0,Full HD,Intel,i3,7.0,2.0,3,Intel,8,256,0,0,0,256,1.7,Medium,Budget,31914.72,No,0.4650000000000001
