Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,cpu_tier_numeric,ssd_indicator,hardware_cluster,cluster,Market_cluster
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,Upper-Mid,Intel,8,128,0,0,0,128,1.37,Medium,Mid-Range,71378.6832,No,4,1,0,2,0
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,Upper-Mid,Intel,8,0,0,128,0,128,1.34,Medium,Mid-Range,47895.5232,No,4,0,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.86,Medium,Budget,30636.0,No,4,1,2,2,2
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,High,AMD,16,512,0,0,0,512,1.83,Medium,Premium,135195.33599999998,Yes,5,1,1,1,1
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,3.0,Upper-Mid,Intel,8,256,0,0,0,256,1.37,Medium,Premium,96095.808,No,4,1,0,2,0
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,Lower-Mid,AMD,4,0,500,0,0,500,2.1,Medium,Budget,21312.0,No,2,0,2,2,2
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,High,Intel,16,0,0,256,0,256,2.04,Medium,Premium,114017.6016,No,5,0,1,1,1
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,Upper-Mid,Intel,8,0,0,256,0,256,1.34,Medium,Mid-Range,61735.536,No,4,0,0,2,0
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,High,NVIDIA,16,512,0,0,0,512,1.3,Medium,Mid-Range,79653.59999999999,No,5,1,0,2,0
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,41025.6,No,4,1,2,2,2
HP,Notebook,15.6,1366,768,Standard,0,HD,Intel,i5,7.0,2.0,Upper-Mid,Intel,4,0,500,0,0,500,1.86,Medium,Budget,20986.992,No,4,0,2,2,2
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,Intel,4,0,500,0,0,500,1.86,Medium,Budget,18381.0672,No,3,0,2,2,2
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,High,AMD,16,256,0,0,0,256,1.83,Medium,Premium,130001.6016,No,5,1,1,2,1
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,6.0,2.0,Mid,AMD,4,256,0,0,0,256,2.2,Heavy,Budget,26581.392,No,3,1,2,2,2
APPLE,Ultrabook,12.0,2304,1440,IPS,0,Quad HD,Intel,Core M,,1.0,Mid,Intel,8,256,0,0,0,256,0.92,Light,Mid-Range,67260.672,No,3,1,0,2,0
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,Upper-Mid,Intel,8,256,0,0,0,256,1.37,Medium,Premium,80908.344,No,4,1,0,2,0
DELL,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i7,7.0,2.0,High,AMD,8,256,0,0,0,256,2.2,Heavy,Budget,39693.6,No,5,1,2,2,2
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,High,AMD,16,512,0,0,0,512,1.83,Medium,Premium,152274.24,Yes,5,1,1,1,1
LENOVO,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i3,7.0,2.0,Mid,NVIDIA,8,0,1024,0,0,1024,2.2,Heavy,Budget,26586.72,No,3,0,2,1,2
DELL,Ultrabook,13.3,1920,1080,IPS,1,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,128,0,0,0,128,1.22,Light,Mid-Range,52161.12,No,4,1,2,0,2
ASUS,Netbook,11.6,1366,768,Standard,0,HD,Intel,Atom,,1.0,Entry,Intel,2,0,0,32,0,32,0.98,Light,Budget,10224.432,No,1,0,2,2,2
LENOVO,Gaming,15.6,1920,1080,IPS,0,Full HD,Intel,i5,7.0,2.0,Upper-Mid,NVIDIA,8,128,1024,0,0,1152,2.5,Heavy,Mid-Range,53226.72,No,4,1,2,1,2
HP,Notebook,15.6,1366,768,Standard,0,HD,AMD,E-Series,,1.0,Entry,AMD,4,0,500,0,0,500,1.86,Medium,Budget,13746.24,No,1,0,2,2,2
DELL,2 in 1 Convertible,13.3,1920,1080,Standard,1,Full HD,Intel,i5,8.0,1.0,Upper-Mid,Intel,8,256,0,0,0,256,1.62,Medium,Mid-Range,43636.32,No,4,1,2,0,2
