Company,laptop_type,screen_size_inch,display_resolution_width,display_resolution_height,panel_type,is_touchscreen,resolution_class,cpu_brand,cpu_family,cpu_generation,clock_speed_ghz,cpu_tier,gpu_brand,ram_gb,ssd_gb,hdd_gb,flash_gb,hybrid_gb,total_storage_gb,weight_kg,weight_class,price_band,Price,is_price_outlier,Performance_Score,value_index,value_segment
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,2.0,4,Intel,8,128,0,0,0,128,1.37,Medium,Mid-Range,71378.6832,No,0.5525,7.740406172132915e-06,Low Value
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,128,0,128,1.34,Medium,Mid-Range,47895.5232,No,0.44,9.186662355950628e-06,Balanced
HP,Notebook,15.6,1920,1080,Standard,0,Full HD,Intel,i5,7.0,2.0,4,Intel,8,256,0,0,0,256,1.86,Medium,Budget,30636.0,No,0.5650000000000001,1.844235539887714e-05,High Value
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,AMD,16,512,0,0,0,512,1.83,Medium,Premium,135195.33599999998,Yes,0.7433333333333334,5.49821728564167e-06,Low Value
APPLE,Ultrabook,13.3,2560,1600,IPS,0,Quad HD+,Intel,i5,,3.0,4,Intel,8,256,0,0,0,256,1.37,Medium,Premium,96095.808,No,0.6650000000000001,6.920176996690637e-06,Low Value
ACER,Notebook,15.6,1366,768,Standard,0,HD,AMD,A9-Series,,3.0,2,AMD,4,0,500,0,0,500,2.1,Medium,Budget,21312.0,No,0.4133333333333333,1.9394394394394392e-05,High Value
APPLE,Ultrabook,15.4,2880,1800,IPS,0,Quad HD+,Intel,i7,,2.0,5,Intel,16,0,0,256,0,256,2.04,Medium,Premium,114017.6016,No,0.6933333333333334,6.080932449059106e-06,Low Value
APPLE,Ultrabook,13.3,1440,900,Standard,0,HD+,Intel,i5,,1.0,4,Intel,8,0,0,256,0,256,1.34,Medium,Mid-Range,61735.536,No,0.44,7.127175505530558e-06,Low Value
ASUS,Ultrabook,14.0,1920,1080,Standard,0,Full HD,Intel,i7,8.0,1.0,5,NVIDIA,16,512,0,0,0,512,1.3,Medium,Mid-Range,79653.59999999999,No,0.6433333333333334,8.076638511421121e-06,Balanced
ACER,Ultrabook,14.0,1920,1080,IPS,0,Full HD,Intel,i5,8.0,1.0,4,Intel,8,256,0,0,0,256,1.6,Medium,Mid-Range,41025.6,No,0.4650000000000001,1.1334386334386337e-05,Balanced
