Company,Price(RS),Performance_Score,value_index,value_segment,Value_segment_Map,estimated_units_sold,estimated_revenue(RS),market_share,pricing_strategy
DELL,65963.05,0.566561181,0.102543088,3,High Value,5850990,354743097426.25,23.16%,Needs Repositioning
LENOVO,57480.87,0.527808877,0.110061503,3,High Value,5864160,306953204816.85,23.22%,Underpriced - Can Increase Price
HP,54775.40,0.50718384,0.108234841,3,High Value,4764519,243237555512.25,18.86%,Underpriced - Can Increase Price
ASUS,58022.09,0.526220238,0.100051788,3,High Value,3206028,171192292608.27,12.69%,Needs Repositioning
ACER,33461.81,0.419413442,0.128544693,3,High Value,2334016,75758007788.77,9.24%,Underpriced - Can Increase Price
TOSHIBA,64967.81,0.579227642,0.098207862,3,High Value,1016083,63477099626.40,4.02%,Needs Repositioning
MSI,95357.79,0.683431373,0.077388784,2,Balanced,744110,68034024562.38,2.95%,Premium - Brand Power Strategy
APPLE,88216.54,0.557696078,0.066001255,2,Balanced,383626,32357182211.68,1.52%,Premium - Brand Power Strategy
SAMSUNG,80332.92,0.608645833,0.076116162,2,Balanced,186543,14488405731.36,0.74%,Needs Repositioning
RAZER,201345.12,0.791,0.046851721,1,Low Value,58914,7957804150.08,0.23%,Premium - Brand Power Strategy
MICROSOFT,85903.79,0.598333333,0.073443961,2,Balanced,136721,11260303712.71,0.54%,Needs Repositioning
XIAOMI,60390.88,0.553333333,0.093789424,2,Balanced,100875,6056059267.94,0.40%,Needs Repositioning
LG,111834.72,0.674444444,0.060943402,1,Low Value,60945,6794114018.40,0.24%,Premium - Brand Power Strategy
FUJITSU,38841.12,0.547777778,0.141850122,1,Low Value,81820,3174894460.80,0.32%,Underpriced - Can Increase Price
GOOGLE,89386.08,0.520277778,0.059167124,1,Low Value,67364,5900171575.68,0.27%,Premium - Brand Power Strategy
HUAWEI,75870.72,0.6275,0.082501467,1,Low Value,47486,3599752057.92,0.19%,Needs Repositioning
MEDIACOM,15717.60,0.113214286,0.074075191,2,Balanced,206338,3237160985.28,0.82%,Needs Repositioning
CHUWI,16745.73,0.117777778,0.075078148,2,Balanced,88137,1468552409.04,0.35%,Needs Repositioning
VERO,12331.66,0.113333333,0.093324406,1,Low Value,59600,734525565.84,0.24%,Needs Repositioning
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
